date,symbol,closing_price_egp,volume,extracted_at
2026-04-02,SDTI.CA,40.66,376191,2026-04-05T15:49:21.693405
2026-04-02,SKPC.CA,17.9,6270728,2026-04-05T15:49:21.826253
2026-04-02,SCEM.CA,57.53,390277,2026-04-05T15:49:21.965294
2026-04-02,OCDI.CA,19.62,1259255,2026-04-05T15:49:22.091763
2026-04-02,SAIB.CA,2.11,0,2026-04-05T15:49:22.242432
2026-04-02,SCFM.CA,219.28,3759,2026-04-05T15:49:22.386671
2026-04-02,SVCE.CA,7.61,496710,2026-04-05T15:49:22.495445
2026-04-02,SPMD.CA,0.33,8822339,2026-04-05T15:49:22.592037
2026-04-02,SCTS.CA,289.79,37084,2026-04-05T15:49:22.734909
2026-04-02,CANA.CA,48.46,110364,2026-04-05T15:49:22.836515
2026-04-02,TMGH.CA,77.41,2807530,2026-04-05T15:49:22.952244
2026-04-02,TALM.CA,14.98,597048,2026-04-05T15:49:23.067788
2026-04-02,RMDA.CA,4.07,13466997,2026-04-05T15:49:23.648035
2026-04-02,CERA.CA,1.04,3412651,2026-04-05T15:49:23.822233
2026-04-02,ADPC.CA,3.45,286995,2026-04-05T15:49:23.929649
2026-04-02,MOED.CA,0.84,4358831,2026-04-05T15:49:24.032855
2026-04-02,TRTO.CA,0.03,2020,2026-04-05T15:49:24.506578
2026-04-02,UNIT.CA,9.73,115731,2026-04-05T15:49:24.587276
2026-04-02,UNIP.CA,0.27,26722976,2026-04-05T15:49:24.655044
2026-04-02,UEFM.CA,480.73,394,2026-04-05T15:49:24.732438
2026-04-02,WKOL.CA,283.0,883,2026-04-05T15:49:24.801447
2026-04-02,ZMID.CA,5.28,3853107,2026-04-05T15:49:24.877112
